"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3779","Homepage has Search Bar","mobile_chrome","2026-03-18","passed","2026-03-18","","homepage.spec.ts","",""
"","10901","Debug Mobile Homepage & Cart (Guest)","chromium","2026-03-18","passed","2026-03-18","","debug-homepage-mobile.spec.ts","",""
"","9010","Debug Header HTML","chromium","2026-03-18","passed","2026-03-18","","debug-header.spec.ts","",""
"","3792","Homepage has Search Bar","chromium","2026-03-18","passed","2026-03-18","","homepage.spec.ts","",""
"","252","Homepage has Search Bar","mobile_safari","2026-03-18","skipped","2026-03-18","","homepage.spec.ts","",""
"","10371","Debug Mobile Account Page","mobile_chrome","2026-03-18","passed","2026-03-18","","debug-mobile.spec.ts","",""
"","9988","Debug Mobile Homepage & Cart (Guest)","mobile_safari","2026-03-18","passed","2026-03-18","","debug-homepage-mobile.spec.ts","",""
"","232","Logout flow","mobile_safari","2026-03-18","skipped","2026-03-18","","logout.spec.ts","",""
"","8620","Debug Header HTML","mobile_chrome","2026-03-18","passed","2026-03-18","","debug-header.spec.ts","",""
"","3294","Homepage has Mega Menu","mobile_chrome","2026-03-18","passed","2026-03-18","","homepage.spec.ts","",""
"","12115","Debug Mobile Account Page","chromium","2026-03-18","passed","2026-03-18","","debug-mobile.spec.ts","",""
"","221","Login with valid credentials","mobile_safari","2026-03-18","skipped","2026-03-18","","login.spec.ts","",""
"","12553","Logout flow","firefox","2026-03-18","passed","2026-03-18","","logout.spec.ts","",""
"","8748","Logout flow","chromium","2026-03-18","passed","2026-03-18","","logout.spec.ts","",""
"","10306","Debug Header HTML","firefox","2026-03-18","passed","2026-03-18","","debug-header.spec.ts","",""
"","12816","PDP Cart Flow: Add specific product, verify Mini Cart and Checkout","firefox","2026-03-18","passed","2026-03-18","","cart.spec.ts","",""
"","5099","Homepage has Mega Menu","firefox","2026-03-18","passed","2026-03-18","","homepage.spec.ts","",""
"","9669","Login with valid credentials","firefox","2026-03-18","passed","2026-03-18","","login.spec.ts","",""
"","9074","Debug Mobile Homepage & Cart (Guest)","mobile_chrome","2026-03-18","passed","2026-03-18","","debug-homepage-mobile.spec.ts","",""
"","3884","PDP Cart Flow: Add specific product, verify Mini Cart and Checkout","mobile_safari","2026-03-18","skipped","2026-03-18","","cart.spec.ts","",""
"","7901","Login with valid credentials","chromium","2026-03-18","passed","2026-03-18","","login.spec.ts","",""
"","14695","Logout flow","mobile_chrome","2026-03-18","failed","2026-03-18","","logout.spec.ts","",""
"","3906","Homepage has Mega Menu","chromium","2026-03-18","passed","2026-03-18","","homepage.spec.ts","",""
"","7836","Login with valid credentials","mobile_chrome","2026-03-18","passed","2026-03-18","","login.spec.ts","",""
"","16030","Debug Header HTML","mobile_safari","2026-03-18","passed","2026-03-18","","debug-header.spec.ts","",""
"","5877","Debug Mobile Account Page","mobile_safari","2026-03-18","passed","2026-03-18","","debug-mobile.spec.ts","",""
"","11917","Debug Mobile Homepage & Cart (Guest)","firefox","2026-03-18","passed","2026-03-18","","debug-homepage-mobile.spec.ts","",""
"","4889","Homepage has Search Bar","firefox","2026-03-18","passed","2026-03-18","","homepage.spec.ts","",""
"","5494","Debug Mobile Account Page","firefox","2026-03-18","passed","2026-03-18","","debug-mobile.spec.ts","",""
"","7625","PDP Cart Flow: Add specific product, verify Mini Cart and Checkout","chromium","2026-03-18","passed","2026-03-18","","cart.spec.ts","",""
"","6507","Homepage has Mega Menu","mobile_safari","2026-03-18","passed","2026-03-18","","homepage.spec.ts","",""
"","9378","PDP Cart Flow: Add specific product, verify Mini Cart and Checkout","mobile_chrome","2026-03-18","passed","2026-03-18","","cart.spec.ts","",""
